Nombre,Precio,Marca,Categoria,UrlCompra,Imagen
Servilleta Supermax Sensilla Blanca - 100unidad,510.0,SUPERMAX,/Limpieza/Desechables/Servilletas/,https://www.walmart.co.cr/servilleta-supermax-sensilla-blanca-100unidad,https://walmartcr.vteximg.com.br/arquivos/ids/284967/Servilleta-Supermax-Sensilla-Blanca-100unidad-1-29373.jpg?v=637798780705270000
Azúcar Doña María -2kg,1470.0,RAPI PAP,/Abarrotes/Azúcar y Postres/Azúcar/,https://www.walmart.co.cr/azucar-dona-maria-regular-blanca-2000gr,https://walmartcr.vteximg.com.br/arquivos/ids/574977/Az-car-Do-a-Mar-a-2kg-1-35510.jpg?v=638469564080000000
Queso Fresco tipo turrialba - 500 g,2800.0,DOS PINOS,/Lácteos/Queso/Queso Fresco/,https://www.walmart.co.cr/queso-fresco-tipo-turrialba-500-g,https://walmartcr.vteximg.com.br/arquivos/ids/894052/6534_01.jpg?v=638784336015830000
Mantequilla Dos Pinos en barra - 115 g,1420.0,DOS PINOS,/Lácteos/Mantequillas y margarinas/Mantequillas/,https://www.walmart.co.cr/mantequilla-dos-pinos-en-barra-115-g-,https://walmartcr.vteximg.com.br/arquivos/ids/935019/6526_01.jpg?v=638839734093300000
Galletas Soda Pozuelo -440g,1560.0,POZUELO,/Abarrotes/Galletas/Galletas Saladas/,https://www.walmart.co.cr/galleta-pozuelo-soda-salada-caja-440gr-2,https://walmartcr.vteximg.com.br/arquivos/ids/563081/Galletas-Soda-Pozuelo-440g-1-29650.jpg?v=638458654516070000
Salsa Lizano regular sabor original libre de gluten doypack - 400 g,940.0,LIZANO,/Abarrotes/Pastas/Salsa para Pasta y Pizza/,https://www.walmart.co.cr/salsa-lizano-regular-doypack-400gr-4,https://walmartcr.vteximg.com.br/arquivos/ids/833673/8133_01.jpg?v=638718891097030000
Filtete de tilapia Don Cristóbal congelado - 454 g,2900.0,DON CRISTOBAL,/Carnes y Pescados/Mariscos y Pescados/Filetes y Enteros/,https://www.walmart.co.cr/filtete-de-tilapia-don-cristobal-congelado-454-g,https://walmartcr.vteximg.com.br/arquivos/ids/554826/Filete-De-Tilapia-Don-Crist-bal-Congelado-454g-1-29264.jpg?v=638448393715370000
Azúcar Zukra crudo 100% natural - 2 kg,1900.0,ZUKRA E,/Abarrotes/Azúcar y Postres/Azúcar/,https://www.walmart.co.cr/azucar-zukra-crudo-100--natural-2-kg,https://walmartcr.vteximg.com.br/arquivos/ids/574930/Azucar-Crudo-Zukra-2000gr-1-25870.jpg?v=638469563898730000
Café1820 Molido Clásico 100% Puro Tueste Oscuro - 1000 g,6850.0,CAFE 1820,"/Abarrotes/Café, Té y Sustitutos/Café Molido/",https://www.walmart.co.cr/cafe-1820-puro-molido-clasico-1000gr,https://walmartcr.vteximg.com.br/arquivos/ids/507591/Caf-100-Puro-Arabica-1820-Molido-Cl-sico-Tueste-Oscuro-1000gr-1-35689.jpg?v=638416004872230000
Espagueti Roma enriquecida - 250 g,650.0,ROMA,/Abarrotes/Pastas/Spaghetti/,https://www.walmart.co.cr/espagueti-roma-enriquecida-250-g,https://walmartcr.vteximg.com.br/arquivos/ids/721124/7417_01.jpg?v=638627124881770000
Frijol negro indiana primera calidad empacados - 800 g,1400.0,INDIANA,"/Abarrotes/Arroz, Frijol y Semillas/Frijol/",https://www.walmart.co.cr/frijol-negro-indiana-primera-calidad-empacados-800-g,https://walmartcr.vteximg.com.br/arquivos/ids/507973/Frijol-Negro-Indiana-800gr-1-34308.jpg?v=638416006604470000
